-0.1500000000,0.4557109373,0.9677222927,1.2981122573,1.4089961515,1.3164253085,1.0768373949,0.7627729312,0.4381966011,0.1429637837,-0.1087582879,-0.3178164907,-0.4842642803,-0.5955152934,-0.6252734347,-0.5445887639
0.0338648116,0.6086354375,1.0597673448,1.3209463366,1.3773083172,1.2601708275,1.0277781606,0.7411100951,0.4449388982,0.1611147036,-0.1049646405,-0.3498834549,-0.5584703611,-0.6989418598,-0.7306540775,-0.6219203205
0.2054405258,0.7324189375,1.1168788912,1.3157815116,1.3336187154,1.2095895874,0.9958344586,0.7367390822,0.4578789967,0.1681025041,-0.1281318386,-0.4158885633,-0.6612405092,-0.8149513540,-0.8283253228,-0.6750992558
0.3540412544,0.8221799496,1.1415696525,1.2909960939,1.2881995948,1.1721536211,0.9822876863,0.7441255132,0.4670761537,0.1539857123,-0.1836998192,-0.5141158265,-0.7840500144,-0.9314258991,-0.9072962926,-0.6984771546
0.4719584095,0.8773020640,1.1401100756,1.2566543049,1.2502732505,1.1520682250,0.9844123123,0.7547850425,0.4620396823,0.1109822588,-0.2730997929,-0.6386538419,-0.9157455926,-1.0362791240,-0.9592324883,-0.6905390491
0.5554097346,0.9013699007,1.1214881154,1.2229445972,1.2266058495,1.1496295897,0.9958755947,0.7585538511,0.4333228548,0.0346984758,-0.3934237231,-0.7801132492,-1.0440117630,-1.1190519055,-0.9795064739,-0.6539689134
0.6049288653,0.9015100365,1.0959929774,1.1986212091,1.2204810089,1.1611741536,1.0076853499,0.7451266068,0.3739873011,-0.0751142233,-0.5377074273,-0.9268367240,-1.1569980261,-1.1722686806,-0.9677119451,-0.5951116985
0.6251419871,0.8872352427,1.0736305337,1.1896767099,1.2312030373,1.1796273084,1.0095478256,0.7056376305,0.2807236823,-0.2143870713,-0.6957889810,-1.0664290504,-1.2448740929,-1.1923609991,-0.9275700581,-0.5229132940
0.6239668120,0.8689620907,1.0626021302,1.1984393103,1.2542023897,1.1955716054,0.9914377245,0.6340542615,0.1544638693,-0.3751737278,-0.8556209037,-1.1873885682,-1.3010909583,-1.1800277904,-0.8662449821,-0.4474953661
0.6113525936,0.8564189769,1.0680688508,1.2232265812,1.2817279964,1.1986787262,0.9451511591,0.5281782325,0.0003932669,-0.5466412517,-1.0048489857,-1.2806067063,-1.3231683284,-1.1399834858,-0.7931712067,-0.3785747544
0.5977461092,0.8571770745,1.0913813953,1.2586059820,1.3040254563,1.1792962036,0.8656143444,0.3901073465,-0.1726413590,-0.7164716665,-1.1324320706,-1.3405215155,-1.3128975997,-1.0801338296,-0.7185657482,-0.3239593483
0.5925078746,0.8755184087,1.1298876658,1.2962240363,1.3108290888,1.1299569647,0.7517558658,0.2260877176,-0.3532457478,-0.8724741164,-1.2300712541,-1.3657613023,-1.2759342814,-1.0103020472,-0.6518438327,-0.2883408987
0.6025096144,0.9118058362,1.1773458135,1.3260829780,1.2929498198,1.0465905348,0.6068133244,0.0457749822,-0.5289553943,-1.0041771646,-1.2932446197,-1.3591883715,-1.2208421675,-0.9406930176,-0.6001702866,-0.2725617166
0.6311172202,0.9624463741,1.2248821403,1.3380782753,1.2437265301,0.9292576510,0.4380269250,-0.1389915796,-0.6878652856,-1.1041736986,-1.3217008151,-1.3273397721,-1.1577308681,-0.8803207796,-0.5673587735,-0.2734629904
0.6777069869,1.0204527123,1.2623536916,1.3235721302,1.1601279051,0.7822988595,0.2557612817,-0.3157275470,-0.8201791562,-1.1690267744,-1.3193431610,-1.2793492169,-1.0966870085,-0.8356296428,-0.5532801023,-0.2843375801
0.7377850289,1.0765204518,1.2799161923,1.2767724145,1.0433421890,0.6138724301,0.0721795037,-0.4729347483,-0.9194569666,-1.1996083318,-1.2935242237,-1.2255093405,-1.0462289780,-0.8095106489,-0.5538664846,-0.2959219241
0.8036917466,1.1204632927,1.2695677423,1.1957143634,0.8987662602,0.4349453324,-0.1003415261,-0.6015923370,-0.9833830150,-1.2008248312,-1.2538560588,-1.1756853046,-1.0120112794,-0.8008573022,-0.5617116511,-0.2977829666
0.8657878369,1.1427960151,1.2264418243,1.0826996784,0.7353923739,0.2578802378,-0.2508282520,-0.6962946575,-1.0139465009,-1.1807725785,-1.2107112899,-1.1378119335,-0.9959678625,-0.8047257433,-0.5671797637,-0.2798981818
0.9139480081,1.1362332402,1.1496592111,0.9441261628,0.5646781594,0.0948200670,-0.3711287715,-0.7558741288,-1.0170113945,-1.1494479581,-1.1736346649,-1.1166940025,-0.9960196416,-0.8130763295,-0.5598617267,-0.2341982649
